,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
266,Iraan,1,US,1570077214,56,30.91,-101.9,77.0,5.82
267,Den Helder,75,NL,1570077215,81,52.96,4.76,55.0,11.41
268,Hilo,90,US,1570077215,83,19.71,-155.08,77.0,9.17
269,Seoul,75,KR,1570077216,54,37.57,126.98,80.6,6.93
270,Manakara,35,MG,1570077216,73,-22.14,48.01,77.94,6.38
271,Iquique,90,CL,1570077217,77,-20.22,-70.14,60.8,6.93
272,Maceio,40,BR,1570077029,94,-9.67,-35.74,69.8,4.7
273,Soyo,100,AO,1570077218,85,-6.13,12.37,76.86,9.73
274,Hovd,90,NO,1570077218,93,63.83,10.7,42.01,6.93
275,Lavrentiya,62,RU,1570076973,80,65.58,-170.99,34.98,13.53
276,Tucupita,63,VE,1570077219,95,9.06,-62.05,74.23,2.66
277,Acajutla,99,SV,1570077220,73,13.59,-89.83,80.68,3.31
278,Nara,75,JP,1570077220,65,34.68,135.8,82.4,6.93
279,Santana do Livramento,100,BR,1570077222,87,-30.89,-55.53,55.67,19.91
280,Fukue,75,JP,1570077224,69,35.03,136.69,81.0,19.46
281,Grand Gaube,75,MU,1570077225,94,-20.01,57.66,75.0,6.93
282,Hobyo,83,SO,1570077226,63,5.35,48.53,84.85,8.77
283,Pouembout,78,NC,1570077227,71,-21.12,164.9,70.45,24.25
284,Samagaltay,0,RU,1570077227,25,50.6,95.0,40.03,5.1
285,Porto Novo,0,BR,1570077228,68,-23.68,-45.44,69.8,12.68
286,Harper,1,US,1570077229,60,30.3,-99.24,79.0,13.91
287,Cassilandia,100,BR,1570077229,90,-19.11,-51.73,69.73,4.05
288,Vestmannaeyjar,100,IS,1570077230,85,63.44,-20.27,46.87,51.29
289,Cabo San Lucas,20,MX,1570077042,78,22.89,-109.91,80.01,4.7
290,Tura,100,RU,1570077232,92,64.27,100.22,37.26,6.22
291,Hasaki,75,JP,1570077233,61,35.73,140.83,86.0,10.29
292,Luderitz,0,NA,1570077234,88,-26.65,15.16,55.39,22.44
293,Magog,90,CA,1570077236,86,45.27,-72.15,39.99,2.24
294,Dubai,0,AE,1570077236,52,25.27,55.3,87.8,4.7
295,Farafangana,66,MG,1570077237,82,-22.82,47.83,76.37,5.1
296,Umm Lajj,0,SA,1570077238,77,25.02,37.27,83.39,11.63
297,Kalanguy,0,RU,1570077239,27,51.01,116.52,43.85,8.88
298,Porto Murtinho,58,BR,1570077241,79,-21.7,-57.88,64.01,4.45
299,Hithadhoo,95,MV,1570077241,79,-0.6,73.08,82.64,16.15
300,Rocha,45,UY,1570077206,92,-34.48,-54.34,47.54,7.9
301,Kloulklubed,75,PW,1570077245,66,7.04,134.26,87.8,11.41
302,Shubarshi,0,KZ,1570077246,26,48.59,57.19,58.19,11.41
303,Meulaboh,72,ID,1570077247,80,4.14,96.13,80.17,12.86
304,Sao Joao da Barra,13,BR,1570077248,97,-21.64,-41.05,64.24,0.63
305,Rincon,0,PA,1570077249,94,8.46,-82.28,75.2,2.24
306,Okahandja,0,NA,1570077249,21,-21.98,16.91,57.0,5.93
307,Baruun-Urt,100,MN,1570077251,46,46.68,113.28,42.28,16.84
308,Sao Joao do Piaui,53,BR,1570077253,67,-8.36,-42.25,73.96,8.52
309,Afua,97,NG,1570077255,96,5.27,7.87,72.88,1.61
310,Carnarvon,47,ZA,1570077255,16,-30.97,22.13,60.25,9.62
311,Mount Pleasant,1,US,1570077214,73,33.16,-94.97,77.0,4.34
312,Surt,0,LY,1570077257,63,31.21,16.59,78.1,13.76
313,Sayyan,18,YE,1570077258,38,15.17,44.32,75.96,4.14
314,Takanabe,40,JP,1570077258,58,32.13,131.49,86.0,20.8
315,Necochea,0,AR,1570077017,76,-38.55,-58.74,37.0,1.01
316,Batemans Bay,13,AU,1570077260,36,-35.71,150.18,82.99,7.0
317,Bagdarin,0,RU,1570077261,25,54.44,113.59,38.47,7.85
318,Sao Filipe,22,CV,1570077262,84,14.9,-24.5,77.09,11.01
319,Bandarbeyla,96,SO,1570077266,62,9.49,50.81,81.92,4.85
320,Ust-Omchug,84,RU,1570077267,84,61.13,149.63,18.54,4.25
321,Platanos,20,GR,1570077267,93,35.47,23.6,68.0,16.35
322,Kizlyar,10,RU,1570077268,66,43.84,46.71,72.32,16.84
323,Bani Walid,0,LY,1570077269,33,31.76,14.0,70.67,15.21
324,Polyarnyy,75,RU,1570077270,82,69.2,33.45,32.0,4.47
325,Sambava,80,MG,1570077272,70,-14.27,50.17,78.53,5.97
326,Iona,90,CA,1570077273,86,45.96,-60.8,46.0,5.82
327,Huilong,99,CN,1570077275,73,31.15,106.5,76.66,3.04
328,Ryde,100,GB,1570077277,100,50.73,-1.16,45.0,2.24
329,Ipixuna,0,BR,1570077277,83,-1.76,-48.8,77.0,8.05
330,Aklavik,90,CA,1570077278,93,68.22,-135.01,39.2,9.17
331,Chumikan,67,RU,1570077279,30,54.72,135.31,39.35,15.19
332,Wukari,92,NG,1570077280,96,7.87,9.78,73.39,2.53
333,Zhangye,92,CN,1570077282,22,38.94,100.46,58.25,8.19
334,Huarmey,84,PE,1570077283,92,-10.07,-78.15,60.93,17.47
335,Chambarak,0,AM,1570077284,32,40.6,45.35,60.82,2.73
336,Micheweni,95,TZ,1570077287,82,-4.97,39.83,79.58,14.81
337,Ivybridge,100,GB,1570077289,82,50.39,-3.92,50.0,1.01
338,Ambilobe,44,MG,1570077290,44,-13.19,49.05,88.13,6.24
339,Mehamn,75,NO,1570077291,76,71.03,27.85,35.6,9.17
340,Auki,29,NG,1570077293,90,12.18,6.51,72.11,7.81
341,Port Lincoln,31,AU,1570077294,84,-34.72,135.86,57.56,13.35
342,Knysna,75,ZA,1570077294,87,-34.04,23.05,59.0,9.17
343,Kieta,100,PG,1570077295,81,-6.22,155.63,78.52,3.89
344,Iskitim,0,RU,1570077297,57,54.64,83.3,48.2,6.71
345,Tilichiki,57,RU,1570077297,85,60.47,166.1,29.68,8.08
346,Nanortalik,100,GL,1570077298,68,60.14,-45.24,42.21,5.99
347,Taoudenni,0,ML,1570077300,11,22.68,-3.98,86.54,5.35
348,Hualmay,43,PE,1570077300,90,-11.1,-77.61,61.45,16.82
349,Whitehorse,20,CA,1570077301,69,60.72,-135.06,39.2,4.7
350,Abu Dhabi,0,AE,1570077273,48,24.47,54.37,87.8,4.7
351,Northam,0,AU,1570077303,38,-31.65,116.67,75.2,10.29
352,Linhares,8,BR,1570077305,95,-19.38,-40.06,64.84,1.01
353,Podor,0,MR,1570077306,69,16.65,-14.96,80.6,9.75
354,Lengshuitan,0,CN,1570077307,26,26.41,111.6,96.77,5.97
355,Khandyga,96,RU,1570077308,59,62.65,135.58,27.83,2.08
356,Kununurra,0,AU,1570077310,5,-15.77,128.74,104.0,21.92
357,Ibb,1,YE,1570077312,61,13.97,44.18,71.66,3.22
358,Pisco,40,PE,1570077313,82,-13.71,-76.2,64.0,3.36
359,Linxia,57,CN,1570077314,48,35.6,103.21,61.02,8.14
360,Lodja,99,CD,1570077316,90,-3.52,23.6,73.35,1.28
361,Kuala Pilah,75,MY,1570077318,66,2.74,102.25,87.8,4.7
362,Los Llanos de Aridane,33,ES,1570077321,88,28.66,-17.92,82.0,11.41
363,Cumana,20,VE,1570077322,88,10.46,-64.17,80.6,17.63
364,Nouadhibou,52,MR,1570077323,51,20.93,-17.03,80.6,13.87
365,Ondjiva,48,AO,1570077327,16,-17.07,15.73,66.22,1.77
366,Anloga,20,GH,1570077329,94,5.79,0.9,75.2,4.7
367,Teknaf,0,BD,1570077330,78,20.86,92.31,83.11,15.14
368,Svetlogorsk,75,RU,1570077331,56,53.14,59.15,44.6,6.71
369,Macas,100,EC,1570077333,95,-2.3,-78.12,47.09,2.77
370,Vao,68,EE,1570077335,85,59.1,26.19,43.27,9.04
371,Kuandian,0,CN,1570077336,52,40.73,124.78,75.6,11.74
372,Dongsheng,0,CN,1570077337,28,29.72,112.52,94.19,6.04
373,Chibuto,0,MZ,1570077338,55,-24.69,33.53,70.79,5.32
374,Sembakung,75,ID,1570077339,94,3.82,117.25,78.8,4.7
375,Miri,63,NG,1570077341,90,10.31,9.75,69.64,6.91
376,Comodoro Rivadavia,0,AR,1570077325,56,-45.87,-67.48,41.0,1.12
377,Antalaha,77,MG,1570077345,72,-14.9,50.28,76.41,3.11
378,Ostersund,20,SE,1570077345,88,63.18,14.64,32.0,6.93
379,Kabanjahe,58,ID,1570077346,43,3.1,98.49,89.01,4.27
380,Lisburn,100,GB,1570077346,100,54.51,-6.04,48.99,3.36
381,Oyem,100,GA,1570077347,98,1.6,11.57,68.27,3.44
382,Alofi,36,NU,1570077095,74,-19.06,-169.92,80.6,5.82
383,Oranjemund,98,ZA,1570077350,90,-28.55,16.43,57.02,11.01
384,Esperance,83,AU,1570077352,49,-33.86,121.89,68.0,17.22
385,Huntsville,1,US,1570077353,88,34.73,-86.59,79.0,0.22
386,Sabang,100,PH,1570077354,76,13.8,121.11,86.0,3.0
387,Troitskoye,0,RU,1570077355,31,52.98,84.68,51.77,4.59
388,Ugoofaaru,48,MV,1570077355,69,5.67,73.0,83.74,6.96
389,Kolyvan,0,RU,1570077357,57,55.31,82.74,48.2,6.71
390,Belaya Gora,100,RU,1570077358,74,68.54,146.19,31.27,24.16
391,Portland,75,US,1570077120,75,43.66,-70.25,48.99,6.93
392,Dunga Bunga,28,PK,1570077365,24,29.75,73.24,98.08,7.4
393,Roros,100,NO,1570077367,98,62.57,11.38,32.0,5.82
394,Qobustan,40,AZ,1570077368,94,40.08,49.41,69.8,9.17
395,Leticia,75,CO,1570077369,100,-4.21,-69.94,73.4,2.24
396,Palana,100,RU,1570077370,66,59.08,159.95,38.56,3.8
397,Kita,75,JP,1570077372,61,35.76,139.74,86.0,10.29
398,Saint Anthony,1,US,1570077373,64,43.97,-111.68,39.2,3.36
399,Rome,75,IT,1570077281,87,41.89,12.48,66.0,4.7
400,Port-Gentil,100,GA,1570077377,76,-0.72,8.78,77.71,8.61
401,Wuwei,92,CN,1570077379,27,37.93,102.64,70.0,1.01
402,Marovoay,20,MG,1570077380,61,-16.11,46.64,80.6,6.93
403,Chara,20,GR,1570077381,82,39.42,22.43,59.0,5.82
404,Gubkinskiy,100,RU,1570077382,88,64.43,76.5,49.34,13.0
405,Misratah,16,LY,1570077382,56,32.38,15.09,77.47,18.37
406,College,90,US,1570077112,100,64.86,-147.8,39.2,3.36
407,Otradnoye,90,RU,1570077385,93,59.77,30.8,41.0,8.95
408,Deputatskiy,100,RU,1570077387,87,69.3,139.9,21.13,25.17
409,Nenjiang,100,CN,1570077387,32,49.17,125.23,45.59,14.18
410,Xinxiang,43,CN,1570077388,36,35.3,113.88,81.07,4.68
411,Siniscola,0,IT,1570077390,77,40.57,9.69,66.2,9.17
412,Pakala,100,GM,1570077390,93,13.62,-15.52,75.26,6.93
413,Yerbogachen,100,RU,1570077391,95,61.28,108.01,34.2,12.42
414,Garissa,82,KE,1570077393,57,-0.46,39.64,82.71,17.05
415,Imbituba,75,BR,1570077387,88,-28.24,-48.67,71.6,4.7
416,Dingle,58,PH,1570077394,61,11.0,122.67,87.93,4.47
417,Hamilton,90,CA,1570077395,87,43.26,-79.87,54.0,20.8
418,Eregli,0,TR,1570077396,42,37.51,34.05,66.78,1.39
419,Muros,40,ES,1570077397,100,42.77,-9.06,60.01,4.7
420,San Vicente,20,EC,1570077397,83,-0.59,-80.41,71.6,6.93
421,Rognan,20,NO,1570077397,59,67.1,15.4,37.4,13.87
422,Lysyye Gory,32,RU,1570077398,62,51.55,44.84,56.83,6.91
423,Garden City,20,US,1570077399,52,43.62,-116.24,48.2,4.7
424,Oktyabrskiy,0,RU,1570077399,81,55.61,37.97,54.0,4.47
425,Yangcun,7,CN,1570077404,67,29.98,118.17,86.0,3.2
426,Montrose,6,GB,1570077405,93,56.71,-2.47,44.01,8.05
427,Olean,90,US,1570077407,100,42.08,-78.43,57.0,10.29
428,Bucerias,75,MX,1570077408,94,20.76,-105.33,78.8,6.89
429,Isangel,75,VU,1570077411,54,-19.55,169.27,80.6,11.41
430,Dongkan,0,CN,1570077413,31,34.0,119.83,85.14,5.41
431,Yuma,1,US,1570077325,22,32.73,-114.62,78.8,4.7
432,Ligayan,94,PH,1570077417,72,4.65,119.47,83.02,7.31
433,Bershet,75,RU,1570077418,93,57.73,56.38,51.8,22.37
434,Makakilo City,90,US,1570077418,83,21.35,-158.09,82.4,12.75
435,Codrington,0,AU,1570077420,32,-28.95,153.24,82.4,8.05
436,Severo-Kurilsk,97,RU,1570077126,96,50.68,156.12,47.95,12.82
437,Longyan,15,CN,1570077422,41,25.1,117.03,87.97,2.33
438,Dunedin,94,NZ,1570077149,74,-45.87,170.5,50.0,5.99
439,Carsamba,75,TR,1570077424,93,41.2,36.72,59.0,2.24
440,Kiama,0,AU,1570077426,28,-34.67,150.86,86.0,10.29
441,Hofn,100,IS,1570077247,99,64.25,-15.21,31.64,14.32
442,Goroka,87,PG,1570077429,89,-6.07,145.39,63.38,2.44
443,Kozhevnikovo,0,RU,1570077430,60,56.26,83.98,50.0,5.01
444,Tarakan,75,ID,1570077430,94,3.3,117.63,78.8,4.7
445,Zhigansk,11,RU,1570077431,53,66.77,123.37,29.45,4.61
446,Whittlesea,0,AU,1570077432,18,-37.51,145.12,84.99,14.99
447,Opuwo,8,NA,1570077434,29,-18.06,13.84,68.71,2.53
448,Leh,42,IN,1570077435,27,34.16,77.58,38.52,1.01
449,Sovetskiy,67,RU,1570077437,75,56.76,48.47,54.58,7.67
450,Sitka,73,US,1570077245,92,37.17,-99.65,57.0,17.0
451,Eha Amufu,100,NG,1570077439,97,6.65,7.77,72.04,5.12
452,Tarabuco,100,BO,1570077440,87,-19.18,-64.92,54.94,5.06
453,Hatillo,90,PR,1570077441,90,18.49,-66.83,81.0,3.09
454,Bay Roberts,90,CA,1570077442,100,47.58,-53.28,42.01,12.75
455,Krasnoyarskiy,23,RU,1570077444,47,51.97,59.9,52.2,11.52
456,Guntakal,34,IN,1570077445,53,15.16,77.38,86.15,2.95
457,Praia da Vitoria,75,PT,1570077447,82,38.73,-27.07,66.2,9.44
458,Tottori,20,JP,1570077449,69,35.5,134.23,80.6,28.86
459,Lieksa,98,FI,1570077450,81,63.32,30.02,33.44,8.12
460,Hay River,20,CA,1570077450,57,60.82,-115.79,50.0,4.7
461,Sangar,75,RU,1570077451,56,63.92,127.47,31.16,10.45
462,Pombia,20,GR,1570077452,88,35.01,24.87,68.0,10.29
463,Kapurthala,40,IN,1570077453,78,31.38,75.38,78.8,6.02
464,Havre-Saint-Pierre,75,CA,1570077454,69,50.23,-63.6,35.6,8.05
465,Aksu,0,KZ,1570077455,49,52.04,76.93,46.4,4.47
466,Salinopolis,9,BR,1570077456,79,-0.61,-47.36,81.11,16.35
467,Beringovskiy,91,RU,1570077457,65,63.05,179.32,32.29,5.3
468,Ust-Ishim,97,RU,1570077458,64,57.69,71.17,46.85,13.24
469,Sept-Iles,75,CA,1570077459,80,50.2,-66.38,35.6,9.17
470,Soe,100,EE,1570077461,93,57.91,26.05,45.0,3.36
471,Fare,4,PF,1570077463,79,-16.7,-151.02,77.54,17.38
472,Laguna,90,BZ,1570077465,88,16.17,-88.94,78.8,9.17
473,Moron,100,HT,1570077467,77,18.56,-74.26,79.49,3.38
474,Xiashi,73,CN,1570077468,67,22.12,106.89,84.26,5.5
475,Vernon,90,CA,1570077469,76,50.27,-119.27,48.2,3.33
476,Avera,1,US,1570077470,78,33.19,-82.53,82.0,4.63
477,Marienburg,75,DE,1570077471,93,52.12,9.98,52.0,12.75
478,Zaigrayevo,40,RU,1570077473,39,51.83,108.27,44.6,8.95
479,Zadar,0,HR,1570077475,82,44.12,15.24,61.0,8.05
480,Ishigaki,40,JP,1570077477,74,24.34,124.16,86.0,5.82
481,Camopi,2,GF,1570077480,99,3.17,-52.33,70.45,2.42
482,Pevek,100,RU,1570077480,69,69.7,170.27,28.94,2.64
483,Jalu,0,LY,1570077481,24,29.03,21.55,79.38,14.94
484,Poum,75,MK,1570077483,87,41.28,20.71,53.6,2.24
485,Ahuimanu,40,US,1570077485,78,21.44,-157.84,82.4,16.11
486,Paamiut,96,GL,1570077486,58,61.99,-49.67,45.11,18.23
487,Vung Tau,18,VN,1570077436,69,10.35,107.08,85.48,9.53
488,Paita,87,PE,1570077487,91,-5.09,-81.11,63.67,14.74
489,Alghero,0,IT,1570077489,77,40.56,8.32,68.0,2.24
490,Ojinaga,90,US,1570077490,88,29.56,-104.41,71.6,11.41
491,Mana,30,NG,1570077491,83,13.03,5.27,76.72,7.11
492,Ballina,100,IE,1570077494,84,54.11,-9.15,46.99,7.0
493,Lamego,42,PT,1570077497,90,41.1,-7.81,55.0,0.76
494,Zabol,0,IR,1570077497,25,31.03,61.49,75.2,26.4
495,Kaspiyskiy,0,RU,1570077379,66,45.39,47.37,68.45,13.89
496,Toamasina,75,MG,1570077500,88,-18.17,49.38,75.2,6.93
497,Corner Brook,90,CA,1570077377,80,48.95,-57.95,41.0,3.36
498,Malindi,75,KE,1570077507,88,-3.22,40.12,75.2,9.42
499,Vagur,19,FO,1570077510,74,61.47,-6.81,46.82,17.34
500,La Ronge,5,CA,1570077512,69,55.1,-105.3,39.2,8.05
501,Tucuman,0,PE,1570077513,74,-17.17,-70.89,47.05,0.45
502,Richards Bay,0,ZA,1570077515,67,-28.77,32.06,67.9,25.55
503,Capreol,75,CA,1570077517,75,46.71,-80.92,42.01,9.17
504,Awjilah,0,LY,1570077518,23,29.14,21.3,78.73,16.22
505,Vikindu,75,TZ,1570077520,94,-6.98,39.3,77.0,5.82
506,Sosua,75,DO,1570077521,100,19.77,-70.52,78.01,3.56
507,Amapa,20,HN,1570077522,94,15.09,-87.97,78.8,2.24
508,Bud,75,NO,1570077523,87,62.91,6.91,44.6,5.82
509,Jaguaruana,0,BR,1570077525,83,-4.83,-37.78,67.28,3.78
510,Fort Nelson,75,CA,1570077525,76,58.81,-122.69,51.8,2.24
511,Inhambane,20,MZ,1570077378,93,-23.87,35.38,60.8,6.06
512,Karasjok,75,NO,1570077527,74,69.47,25.52,37.4,17.22
513,Kortkeros,75,RU,1570077528,93,61.81,51.56,42.8,6.71
514,Talnakh,75,RU,1570077529,93,69.49,88.39,35.6,15.66
515,Narsaq,100,GL,1570077530,32,60.91,-46.05,51.8,24.16
516,Gorshechnoye,57,RU,1570077531,64,51.52,38.03,54.77,11.48
517,Tsovinar,0,AM,1570077532,32,40.16,45.47,60.82,2.73
518,Vila Franca do Campo,40,PT,1570077534,77,37.72,-25.43,71.01,11.41
519,Plastun,100,RU,1570077537,69,44.76,136.29,64.6,7.05
520,Diffa,100,NE,1570077539,63,13.32,12.61,81.38,14.12
521,Cedar City,1,US,1570077268,24,37.68,-113.06,48.2,6.93
522,Setermoen,75,NO,1570077544,86,68.86,18.35,28.99,4.7
523,Husavik,100,CA,1570077547,88,50.56,-96.99,42.01,8.23
524,Jurm,17,AF,1570077548,41,36.86,70.83,57.64,6.87
525,Tikapur,0,NP,1570077549,64,28.53,81.12,84.26,3.76
526,Dera Bugti,24,PK,1570077550,35,29.03,69.15,88.45,6.73
527,Arlit,30,NE,1570077552,12,18.74,7.39,85.93,7.02
528,Tikhvin,100,RU,1570077552,92,59.64,33.53,37.99,1.01
529,Kimbe,56,PG,1570077553,78,-5.56,150.15,82.62,1.3
530,Bathsheba,20,BB,1570077554,78,13.22,-59.52,82.4,13.87
531,Chitral,100,PK,1570077556,76,35.85,71.79,35.75,6.46
532,Byron Bay,0,AU,1570077303,60,-28.65,153.62,82.4,18.34
533,Neiafu,75,TO,1570077563,74,-18.65,-173.98,80.6,14.45
